,LDR1,LDR2,button
348,567,698,0
349,566,696,0
350,816,694,1
351,816,699,1
352,815,695,1
353,815,697,1
354,816,699,1
355,571,701,0
356,567,699,0
357,564,686,0
358,573,700,0
359,575,703,0
360,578,703,0
361,583,708,0
362,582,704,0
363,587,708,0
364,585,708,0
365,582,703,0
366,583,704,0
367,584,705,0
368,584,704,0
369,584,704,0
370,583,704,0
371,582,704,0
372,582,707,0
373,577,703,0
374,500,637,0
375,562,692,0
376,564,692,0
377,575,703,0
378,578,705,0
379,576,700,0
380,576,703,0
381,579,703,0
382,577,701,0
383,580,705,0
384,575,705,0
385,579,703,0
386,616,734,0
387,604,725,0
388,821,719,1
389,817,709,1
390,818,717,1
391,819,727,1
392,599,733,0
393,603,742,0
394,611,751,0
395,821,754,1
396,822,761,1
397,823,766,1
398,624,774,0
399,628,781,0
400,635,785,0
401,826,791,1
402,826,797,1
403,649,804,0
404,654,811,0
405,655,812,0
406,828,811,1
407,827,803,1
408,823,785,1
409,826,796,1
410,826,796,1
411,656,804,0
412,653,803,0
413,663,811,0
414,671,816,0
415,683,829,0
416,691,837,0
417,690,836,0
418,695,841,0
419,697,845,0
420,837,846,1
421,836,846,1
422,836,844,1
423,836,849,1
424,837,850,1
425,699,851,0
426,704,860,0
427,704,867,0
428,715,816,0
429,723,810,0
430,843,867,1
431,845,884,1
437,819,831,0
459,780,898,0
460,776,889,0
461,774,887,0
462,876,885,1
463,876,875,1
464,879,822,1
465,874,748,1
466,865,750,1
467,866,755,1
468,863,756,1
469,864,769,1
470,870,773,1
471,876,776,1
472,878,776,1
473,877,776,1
474,859,780,1
475,639,779,0
476,625,744,0
477,623,751,0
478,622,756,0
479,859,752,1
480,858,749,1
481,627,749,0
482,587,730,0
483,606,740,0
484,609,729,0
485,614,759,0
486,611,763,0
487,800,758,1
488,801,758,1
489,800,751,1
490,800,740,1
491,800,735,1
492,799,720,1
493,798,704,1
494,590,694,0
495,585,689,0
496,580,685,0
497,570,676,0
498,795,675,1
499,794,666,1
500,794,665,1
501,794,660,1
502,794,659,1
503,794,654,1
504,795,658,1
505,553,646,0
506,555,642,0
507,560,634,0
508,793,636,1
509,792,640,1
510,791,613,1
511,791,628,1
512,793,641,1
513,796,642,1
514,797,644,1
515,585,638,0
516,574,634,0
517,604,655,0
518,608,652,0
519,610,655,0
520,610,655,0
521,610,654,0
522,609,654,0
523,605,656,0
524,605,655,0
525,605,657,0
526,799,656,1
527,796,647,1
528,796,642,1
529,796,642,1
530,795,638,1
531,795,638,1
532,795,635,1
533,794,637,1
534,794,636,1
535,530,625,0
536,462,625,0
537,485,627,0
538,524,626,0
539,562,653,0
540,767,635,1
541,768,635,1
542,768,638,1
543,769,640,1
544,770,635,1
545,770,634,1
546,573,633,0
547,589,711,0
548,589,694,0
549,589,699,0
550,588,695,0
551,588,707,0
552,588,712,0
693,542,527,0
695,535,521,0
696,541,659,0
697,512,635,0
698,559,691,0
699,484,624,0
700,558,689,0
701,571,701,0
702,575,706,0
703,571,701,0
704,563,642,0
705,849,665,1
706,848,654,1
707,849,669,1
708,848,664,1
709,844,617,1
710,840,280,1
711,841,338,1
712,841,334,1
713,353,337,0
714,288,450,0
715,359,542,0
716,558,691,0
717,566,700,0
718,574,702,0
719,575,702,0
720,575,701,0
721,575,702,0
722,575,701,0
723,577,704,0
724,578,705,0
725,578,706,0
726,572,700,0
727,541,667,0
728,341,476,0
729,318,459,0
730,277,400,0
731,240,230,0
732,148,101,0
733,138,94,0
734,840,108,1
735,840,102,1
736,840,85,1
737,171,296,0
738,263,351,0
739,259,351,0
740,256,344,0
741,256,356,0
742,323,457,0
743,404,415,0
744,195,261,0
745,180,134,0
746,194,122,0
747,201,124,0
748,841,119,1
749,840,117,1
750,840,115,1
751,840,112,1
752,840,110,1
753,840,113,1
754,840,116,1
755,840,109,1
756,840,139,1
757,840,137,1
758,840,144,1
759,843,465,1
760,845,592,1
761,848,652,1
762,848,652,1
763,848,658,1
764,848,658,1
765,848,658,1
766,848,658,1
767,848,654,1
768,553,678,0
769,386,527,0
770,571,699,0
771,509,686,0
772,464,632,0
773,460,651,0
774,447,651,0
775,489,646,0
776,472,644,0
777,495,637,0
778,467,601,0
779,464,610,0
780,509,654,0
781,562,671,0
782,563,670,0
783,557,669,0
784,795,672,1
785,795,671,1
786,795,674,1
787,795,670,1
788,795,670,1
789,795,672,1
790,795,675,1
791,795,670,1
792,794,669,1
793,794,672,1
794,795,669,1
795,793,669,1
796,546,669,0
797,554,669,0
798,555,669,0
799,563,672,0
800,561,669,0
801,561,668,0
802,795,668,1
803,796,672,1
804,796,670,1
805,796,669,1
806,795,669,1
807,564,683,0
808,581,706,0
809,581,706,0
810,509,643,0
811,425,503,0
812,458,530,0
813,422,516,0
814,439,516,0
815,440,519,0
816,442,523,0
817,785,524,1
818,785,521,1
819,784,506,1
820,783,448,1
821,783,437,1
822,784,490,1
823,784,521,1
824,784,517,1
825,436,513,0
826,434,512,0
827,433,506,0
828,431,491,0
829,421,460,0
830,366,329,0
831,274,256,0
832,246,242,0
833,248,246,0
834,245,241,0
835,235,219,0
836,352,323,0
837,255,245,0
838,251,241,0
839,776,221,1
840,776,235,1
841,775,243,1
842,776,238,1
843,776,238,1
844,775,230,1
845,776,248,1
846,272,222,0
847,247,215,0
848,244,214,0
849,248,225,0
850,249,227,0
851,333,284,0
852,779,281,1
853,777,238,1
854,776,185,1
855,776,202,1
856,776,206,1
857,776,231,1
858,776,228,1
859,776,220,1
860,776,221,1
861,776,197,1
862,392,172,0
863,228,145,0
864,193,142,0
865,194,140,0
866,193,137,0
867,190,137,0
868,180,115,0
869,166,112,0
870,759,121,1
871,775,126,1
872,774,126,1
873,775,128,1
874,774,127,1
875,774,127,1
876,774,127,1
877,774,128,1
878,174,120,0
879,238,221,0
880,299,369,0
881,776,313,1
882,777,345,1
883,776,323,1
884,776,300,1
885,462,372,0
886,778,293,1
887,451,520,0
888,475,598,0
889,569,684,0
890,577,698,0
891,580,702,0
892,495,702,0
893,362,698,0
894,548,697,0
895,429,690,0
896,309,640,0
897,284,637,0
898,241,641,0
899,338,669,0
900,583,673,0
901,578,666,0
902,568,662,0
903,561,664,0
904,418,658,0
905,308,610,0
906,432,599,0
907,432,595,0
908,486,612,0
909,472,624,0
910,398,658,0
911,423,668,0
912,445,681,0
913,477,674,0
914,476,666,0
915,469,664,0
916,467,669,0
917,454,670,0
918,479,674,0
919,540,671,0
920,542,674,0
921,543,675,0
922,543,675,0
923,541,673,0
924,538,668,0
925,541,673,0
926,541,671,0
927,542,676,0
928,544,674,0
929,541,670,0
930,546,679,0
931,546,679,0
932,543,673,0
933,542,673,0
934,543,673,0
935,543,675,0
936,753,669,1
937,804,671,1
938,804,674,1
939,804,677,1
940,803,673,1
941,803,670,1
942,804,678,1
943,804,681,1
944,803,679,1
945,803,679,1
946,803,676,1
947,803,677,1
948,803,679,1
949,540,665,0
950,514,623,0
951,559,697,0
952,560,695,0
953,560,694,0
954,562,697,0
955,558,698,0
956,499,648,0
957,413,645,0
958,880,650,1
959,891,661,1
960,790,671,1
961,791,681,1
962,791,655,1
963,791,630,1
964,792,651,1
965,548,632,0
966,546,627,0
967,547,632,0
968,548,625,0
969,546,633,0
970,550,642,0
971,550,644,0
972,547,637,0
973,547,633,0
974,550,635,0
975,546,632,0
976,548,636,0
977,549,637,0
978,547,628,0
979,792,639,1
980,791,650,1
981,791,654,1
982,792,682,1
983,792,681,1
984,792,684,1
985,792,684,1
986,792,683,1
987,792,680,1
988,792,682,1
989,791,681,1
990,551,672,0
991,550,666,0
992,543,669,0
993,537,666,0
994,537,669,0
995,538,671,0
996,526,671,0
997,431,662,0
998,893,662,1
999,893,669,1
1000,893,676,1
1001,892,671,1
1002,888,673,1
1003,886,674,1
1004,880,677,1
1005,881,677,1
1006,873,682,1
1007,868,681,1
1008,864,685,1
1009,868,683,1
1010,872,684,1
1011,872,686,1
1012,869,684,1
1013,870,681,1
1014,879,685,1
1015,843,684,1
1016,548,679,0
1017,547,680,0
1018,549,681,0
1019,547,677,0
