"id","LDR1","LDR2","button"
"4858","579","136","197"
"4859","579","136","197"
"4860","580","137","192"
"4861","580","137","196"
"4862","580","137","205"
"4863","579","136","192"
"4864","579","137","192"
"4865","579","136","203"
"4866","579","136","205"
"4867","580","137","205"
"4868","579","136","198"
"4869","580","137","194"
"4870","579","136","203"
"4871","579","136","205"
"4872","579","136","198"
"4873","579","136","194"
"4874","579","136","205"
"4875","579","136","205"
"4876","579","136","198"
"4877","580","137","195"
"4878","579","136","203"
"4879","579","136","194"
"4880","580","136","196"
"4881","579","136","204"
"4882","580","138","205"
"4883","579","136","197"
"4884","579","136","205"
"4885","579","136","198"
"4886","580","136","196"
"4887","579","136","203"
"4888","580","137","195"
"4889","579","136","201"
"4890","580","137","204"
"4891","580","137","204"
"4892","579","136","198"
"4893","579","136","197"
"4894","579","136","197"
"4895","579","136","195"
"4896","579","136","197"
"4897","579","136","194"
"4898","580","136","199"
"4899","580","136","194"
"4900","580","137","188"
"4901","564","131","201"
"4902","576","136","202"
"4903","568","131","162"
"4904","573","133","185"
"4905","832","133","395"
"4906","832","134","395"
"4907","827","96","395"
"4908","832","125","395"
"4909","832","122","395"
"4910","832","122","395"
"4911","832","122","395"
"4912","832","124","395"
"4913","832","123","395"
"4914","580","135","174"
"4915","580","135","206"
"4916","579","134","158"
"4917","579","134","206"
"4918","580","135","204"
"4919","580","135","203"
"4920","579","134","179"
"4921","580","135","162"
"4922","579","134","152"
"4923","580","134","175"
"4924","832","134","395"
"4925","833","134","395"
"4926","832","129","395"
"4927","832","132","395"
"4928","833","139","395"
"4929","615","154","212"
"4930","641","172","211"
"4931","650","185","186"
"4932","655","187","181"
"4933","660","188","177"
"4934","841","189","395"
"4935","841","189","395"
"4936","841","190","395"
"4937","844","201","395"
"4938","847","218","395"
"4939","847","217","395"
"4940","848","222","395"
"4941","847","225","395"
"4942","842","230","395"
"4943","843","245","394"
"4944","843","245","395"
"4945","674","245","249"
"4946","679","245","223"
"4947","695","241","242"
"4948","706","252","223"
"4949","705","250","238"
"4950","718","258","243"
"4951","725","265","257"
"4952","720","246","247"
"4953","733","279","243"
"4954","733","280","244"
"4955","734","281","261"
"4956","853","279","395"
"4957","853","279","395"
"4958","853","279","395"
"4959","853","279","395"
"4960","854","280","395"
"4961","853","281","395"
"4962","735","283","239"
"4963","735","278","240"
"4964","737","280","257"
"4965","735","282","261"
"4966","736","281","261"
"4967","735","282","258"
"4968","851","280","395"
"4969","854","280","395"
"4970","854","281","395"
"4971","854","279","395"
"4972","853","279","395"
"4973","852","276","394"
"4974","851","269","394"
"4975","706","233","244"
"4976","669","199","231"
"4977","679","227","237"
"4978","704","254","231"
"4979","779","310","265"
"4980","777","308","263"
"4981","775","310","269"
"4982","775","310","264"
"4983","774","309","262"
"4984","774","308","269"
"4985","774","308","268"
"4986","774","308","268"
"4987","773","307","265"
"4988","773","308","264"
"4989","773","308","264"
"4990","758","306","268"
"4991","736","295","264"
"4992","725","289","262"
"4993","726","288","247"
"4994","730","287","263"
"4995","750","300","266"
"4996","744","281","253"
"4997","854","264","395"
"4998","854","258","395"
"4999","854","263","394"
"5000","854","264","395"
"5001","854","264","394"
"5002","854","265","394"
"5003","854","264","395"
"5004","854","263","395"
"5005","738","261","242"
"5006","757","274","252"
"5007","785","297","259"
"5008","779","295","265"
"5009","778","294","257"
"5010","779","294","264"
"5011","752","293","265"
"5012","744","294","263"
"5013","741","294","265"
"5014","735","295","261"
"5015","735","290","255"
"5016","722","268","249"
"5017","852","252","395"
"5018","851","243","395"
"5019","849","233","394"
"5020","848","229","394"
"5021","847","224","394"
"5022","696","221","210"
"5023","681","214","229"
"5024","675","209","214"
"5025","668","199","204"
"5026","663","196","230"
"5027","842","197","395"
"5028","840","187","394"
"5029","836","168","394"
"5030","836","163","394"
"5031","836","164","394"
"5032","836","163","394"
"5033","836","162","394"
"5034","836","163","394"
"5035","620","161","217"
"5036","618","159","200"
"5037","597","157","191"
"5038","827","130","395"
"5039","827","116","394"
"5040","826","107","394"
"5041","825","100","394"
"5042","825","100","394"
"5043","494","99","169"
"5044","494","100","169"
"5045","496","103","162"
"5046","495","101","197"
"5047","826","103","394"
"5048","827","112","394"
"5049","829","135","394"
"5050","830","151","394"
"5051","833","170","394"
"5052","839","190","394"
"5053","840","191","394"
"5054","843","192","394"
"5055","843","193","394"
"5056","677","192","189"
"5057","676","193","221"
"5058","688","202","204"
"5059","729","246","224"
"5060","752","279","239"
"5061","749","276","252"
"5062","757","273","258"
"5063","857","263","394"
"5064","852","241","394"
"5065","853","243","394"
"5066","851","232","394"
"5067","843","199","394"
"5068","842","187","394"
"5069","838","166","394"
"5070","837","162","394"
"5071","836","159","394"
"5072","632","163","203"
"5073","636","164","193"
"5074","630","160","192"
"5075","640","166","197"
"5076","645","167","186"
"5077","643","166","217"
"5078","414","74","143"
"5079","422","81","151"
"5080","417","79","157"
"5081","432","84","156"
"5082","437","84","163"
"5083","436","84","171"
"5084","413","79","173"
"5085","407","81","148"
"5086","406","82","182"
"5087","821","83","394"
"5088","822","84","394"
"5089","473","106","195"
"5090","486","114","163"
"5091","477","111","194"
"5092","474","110","161"
"5093","476","111","164"
"5094","827","124","395"
"5095","827","128","395"
"5096","827","130","395"
"5097","828","134","395"
"5098","827","125","395"
"5099","532","124","198"
"5100","539","135","183"
"5101","569","147","207"
"5102","609","162","190"
"5103","654","178","221"
"5104","662","183","203"
"5105","841","183","395"
"5106","842","187","395"
"5107","843","188","395"
"5108","844","197","395"
"5109","847","201","396"
"5110","846","199","396"
"5111","847","199","396"
"5112","697","198","231"
"5113","693","199","227"
"5114","661","178","190"
"5115","646","175","220"
"5116","595","156","192"
"5117","601","158","212"
"5118","835","161","395"
"5119","835","160","395"
"5120","836","163","395"
"5121","836","164","395"
"5122","837","165","395"
"5123","838","167","395"
"5124","646","166","215"
"5125","642","166","204"
"5126","640","165","209"
"5127","636","164","199"
"5128","621","164","213"
"5129","601","158","213"
"5130","596","156","196"
"5131","597","156","201"
"5132","595","156","218"
"5133","593","155","207"
"5134","596","156","213"
"5135","594","154","205"
"5136","414","1023","286"
"5137","408","1023","287"
"5138","421","1023","287"
"5139","436","1023","286"
"5140","436","1023","287"
"5141","436","1023","286"
"5142","436","1023","287"
"5143","437","1023","287"
"5144","436","1023","286"
"5145","437","1023","287"
"5146","437","1023","287"
"5147","438","1023","287"
"5148","437","1023","287"
"5149","438","1023","287"
"5150","437","1023","286"
"5151","436","1023","287"
"5152","439","1023","287"
"5153","438","1023","287"
"5154","438","1023","287"
"5155","436","1023","287"
"5156","436","1023","287"
"5157","438","1023","287"
"5158","437","1023","287"
"5159","436","1023","287"
"5160","438","1023","287"
"5161","437","1023","287"
"5162","436","1023","287"
"5163","439","1023","287"
"5164","437","1023","287"
"5165","439","1023","287"
"5166","436","1023","287"
"5167","438","1023","287"
"5168","437","1023","287"
"5169","436","1023","287"
"5170","439","1023","287"
"5171","435","1023","287"
"5172","438","1023","287"
"5173","438","1023","287"
"5174","434","1023","287"
"5175","433","1023","287"
"5176","432","1023","287"
"5177","433","1023","287"
"5178","436","1023","287"
"5179","434","1023","287"
"5180","437","1023","287"
"5181","435","1023","287"
"5182","435","1023","287"
"5183","435","1023","287"
"5184","434","1023","287"
"5185","436","1023","287"
"5186","433","1023","287"
"5187","411","1023","287"
"5188","411","1023","287"
"5189","401","1023","287"
"5190","390","1023","287"
"5191","378","1023","287"
"5192","380","1023","287"
"5193","355","1023","287"
"5194","357","1023","287"
"5195","348","1023","287"
"5196","345","1023","287"
"5197","350","1023","287"
"5198","349","1023","287"
"5199","352","1023","288"
"5200","350","1023","287"
"5201","355","1023","287"
"5202","351","1023","287"
"5203","353","1023","287"
"5204","355","1023","287"
"5205","354","1023","287"
"5206","350","1023","287"
"5207","351","1023","287"
"5208","352","1023","287"
"5209","352","1023","287"
"5210","352","1023","287"
"5211","353","58","156"
"5212","355","58","172"
"5213","353","57","158"
"5214","355","58","173"
"5215","360","59","137"
"5216","357","61","168"
"5217","364","56","142"
"5218","391","76","180"
"5219","432","85","154"
"5220","436","85","185"
"5221","437","86","154"
"5222","437","86","186"
"5223","435","84","164"
"5224","436","85","170"
"5225","437","86","186"
"5226","435","84","159"
"5227","435","85","183"
"5228","435","85","179"
"5229","435","85","172"
"5230","436","86","155"
"5231","434","85","163"
"5232","435","85","180"
"5233","435","85","172"
"5234","437","86","188"
"5235","435","85","174"
"5236","436","85","175"
"5237","433","84","167"
"5238","430","81","184"
"5239","425","81","140"
"5240","822","80","395"
"5241","823","80","395"
"5242","823","82","395"
"5243","823","81","394"
"5244","823","80","394"
"5245","822","81","394"
"5246","822","81","394"
"5247","824","99","394"
"5248","826","128","394"
"5249","844","209","394"
"5250","858","319","394"
"5251","859","378","394"
"5252","858","382","395"
"5253","855","388","394"
"5254","858","410","395"
"5255","858","397","394"
"5256","862","442","394"
"5257","874","648","395"
"5258","876","682","395"
"5259","876","715","395"
"5260","872","719","395"
"5261","866","752","395"
"5262","873","754","395"
"5263","814","740","287"
"5264","814","740","287"
"5265","814","740","287"
"5266","816","742","287"
"5267","815","747","287"
"5268","816","747","287"
"5269","817","751","287"
"5270","817","746","287"
"5271","817","746","287"
"5272","818","749","287"
"5273","818","749","287"
"5274","818","750","287"
"5275","818","746","287"
"5276","819","733","288"
"5277","819","698","288"
"5278","811","635","287"
"5279","804","397","282"
"5280","660","152","210"
"5281","629","135","181"
"5282","619","131","197"
"5283","836","133","395"
"5284","836","133","394"
"5285","836","134","394"
"5286","836","135","394"
"5287","836","134","394"
"5288","836","135","394"
"5289","836","136","394"
"5290","837","136","394"
"5291","836","136","394"
"5292","632","136","176"
"5293","622","135","204"
"5294","620","134","182"
"5295","617","133","178"
"5296","537","104","192"
"5297","481","88","157"
"5298","450","81","183"
"5299","448","79","152"
"5300","445","79","173"
"5301","820","79","394"
"5302","823","80","394"
"5303","823","79","394"
"5304","823","79","394"
"5305","823","79","393"
"5306","823","79","393"
"5307","823","79","394"
"5308","822","80","393"
"5309","442","80","158"
"5310","454","82","155"
"5311","455","82","186"
"5312","453","80","150"
"5313","453","80","150"
"5314","455","81","184"
"5315","453","80","140"
"5316","455","81","186"
"5317","453","80","153"
"5318","824","81","394"
"5319","824","80","394"
"5320","823","82","394"
"5321","823","81","394"
"5322","823","81","394"
"5323","823","80","394"
"5324","823","81","393"
"5325","517","81","187"
"5326","455","82","161"
"5327","445","76","185"
"5328","434","78","152"
"5329","432","78","169"
"5330","434","71","182"
"5331","430","73","162"
"5332","434","81","184"
"5333","439","83","142"
"5334","823","82","394"
"5335","823","82","394"
"5336","822","82","394"
"5337","822","81","394"
"5338","822","81","394"
"5339","821","81","394"
"5340","821","81","393"
"5341","821","81","394"
"5342","822","81","394"
"5343","416","80","155"
"5344","415","80","179"
"5345","413","79","150"
"5346","414","79","152"
"5347","822","80","394"
"5348","822","79","394"
"5349","821","80","394"
"5350","821","76","394"
"5351","823","88","394"
"5352","823","89","394"
"5353","823","90","394"
"5354","502","88","188"
"5355","443","88","171"
"5356","443","88","162"
"5357","448","90","185"
"5358","448","85","147"
"5359","447","88","185"
"5360","823","84","394"
"5361","821","76","394"
"5362","821","78","394"
"5363","821","79","394"
"5364","822","82","394"
"5365","822","85","394"
"5366","451","90","186"
"5367","454","91","161"
"5368","435","70","180"
"5369","464","76","160"
"5370","477","94","192"
"5371","476","84","175"
"5372","488","101","172"
"5373","465","96","192"
"5374","440","80","152"
"5375","454","85","172"
"5376","460","97","173"
"5377","460","97","188"
"5378","459","95","190"
"5379","457","94","165"
"5380","457","94","185"
"5381","456","93","189"
"5382","454","92","166"
"5383","455","92","182"
"5384","455","92","185"
"5385","455","92","163"
"5386","454","91","170"
"5387","455","91","172"
"5388","454","91","185"
"5389","455","91","161"
"5390","454","92","190"
"5391","456","93","159"
"5392","454","91","167"
"5393","435","79","184"
"5394","435","80","152"
"5395","435","79","172"
"5396","435","79","184"
"5397","435","79","155"
"5398","437","81","184"
"5399","435","80","152"
"5400","437","80","184"
"5401","436","80","164"
"5402","436","79","174"
"5403","436","79","173"
"5404","438","81","186"
"5405","437","80","154"
"5406","436","80","185"
"5407","435","79","171"
"5408","436","79","178"
"5409","436","80","170"
"5410","436","79","176"
"5411","436","79","182"
"5412","436","80","159"
"5413","436","80","185"
"5414","435","79","171"
"5415","438","81","185"
"5416","436","80","160"
"5417","436","80","174"
"5418","438","81","186"
"5419","437","80","181"
"5420","436","79","168"
"5421","436","79","183"
"5422","436","79","171"
"5423","437","80","165"
"5424","436","80","176"
"5425","438","81","158"
"5426","436","80","175"
"5427","438","81","184"
"5428","437","80","185"
"5429","436","79","175"
"5430","437","80","179"
"5431","437","80","165"
"5432","437","81","161"
"5433","436","80","176"
"5434","436","80","174"
"5435","438","81","185"
"5436","436","79","185"
"5437","436","79","174"
"5438","437","80","165"
"5439","437","80","180"
"5440","436","80","163"
"5441","436","79","167"
"5442","439","81","185"
"5443","437","80","161"
"5444","436","80","185"
"5445","438","81","159"
"5446","438","81","185"
"5447","438","81","162"
"5448","436","79","165"
"5449","436","79","185"
"5450","436","80","177"
"5451","438","82","162"
"5452","436","80","184"
"5453","436","80","162"
"5454","436","80","185"
"5455","436","79","176"
"5456","439","81","186"
"5457","436","80","168"
"5458","436","80","185"
"5459","436","80","175"
"5460","438","81","161"
"5461","436","79","168"
"5462","435","79","185"
"5463","437","81","162"
"5464","438","81","184"
"5465","435","79","176"
"5466","437","80","160"
"5467","436","79","185"
"5468","438","81","161"
"5469","438","81","186"
"5470","436","79","173"
"5471","438","81","184"
"5472","437","80","154"
"5473","430","77","180"
"5474","436","79","175"
"5475","438","81","185"
"5476","436","79","177"
"5477","436","79","185"
"5478","436","79","157"
"5479","438","81","153"
"5480","438","81","184"
"5481","438","81","153"
"5482","376","56","157"
"5483","209","14","116"
"5484","204","14","137"
"5485","202","14","140"
"5486","202","14","106"
"5487","202","14","150"
"5488","201","14","124"
"5489","201","13","109"
"5490","201","13","110"
"5491","201","13","153"
"5492","201","14","104"
"5493","201","14","121"
"5494","152","8","119"
"5495","160","13","139"
"5496","166","12","71"
"5497","817","13","394"
"5498","818","13","394"
"5499","817","14","394"
"5500","817","15","394"
"5501","817","14","394"
"5502","817","14","394"
"5503","817","14","394"
"5504","817","14","394"
"5505","817","15","394"
"5506","817","14","394"
"5507","817","14","394"
"5508","817","14","394"
"5509","817","15","394"
"5510","202","13","108"
"5511","198","13","130"
"5512","197","13","133"
"5513","197","13","140"
"5514","133","8","140"
"5515","144","10","97"
"5516","146","10","106"
"5517","816","9","394"
"5518","816","7","395"
"5519","816","7","395"
"5520","816","6","395"
"5521","815","6","394"
"5522","816","6","394"
"5523","816","6","394"
"5524","815","6","394"
"5525","189","5","142"
"5526","140","8","145"
"5527","149","10","105"
"5528","149","10","143"
"5529","128","8","104"
"5530","91","8","137"
"5531","90","8","121"
"5532","87","8","81"
"5533","92","8","125"
"5534","87","8","128"
"5535","97","8","86"
"5536","109","8","128"
"5537","110","8","121"
"5538","121","9","126"
"5539","126","9","130"
"5540","126","5","96"
"5541","163","9","136"
"5542","838","11","395"
"5543","838","11","394"
"5544","838","11","394"
"5545","837","11","394"
"5546","838","11","394"
"5547","837","11","394"
"5548","837","11","394"
"5549","837","11","394"
"5550","837","11","394"
"5551","837","11","394"
"5552","837","11","394"
"5553","837","11","394"
"5554","220","17","142"
"5555","186","11","98"
"5556","404","93","175"
"5557","331","43","160"
"5558","312","35","146"
"5559","839","48","394"
"5560","840","51","394"
"5561","840","49","394"
"5562","569","46","142"
"5563","434","36","88"
"5564","452","36","156"
"5565","456","37","125"
"5566","843","37","394"
"5567","843","37","394"
"5568","843","37","394"
"5569","843","38","394"
"5570","466","37","140"
"5571","478","41","97"
"5572","428","61","142"
"5573","575","113","193"
"5574","570","107","118"
"5575","848","106","394"
"5576","848","103","394"
"5577","848","102","394"
"5578","848","102","394"
"5579","611","143","144"
"5580","580","154","206"
"5581","612","160","163"
"5582","510","162","216"
"5583","629","163","205"
"5584","627","162","194"
"5585","852","162","395"
"5586","852","161","394"
"5587","851","160","394"
"5588","850","162","394"
"5589","844","163","394"
"5590","676","162","179"
"5591","649","141","153"
"5592","646","135","203"
"5593","627","134","148"
"5594","852","133","394"
"5595","852","131","394"
"5596","852","131","394"
"5597","853","131","394"
"5598","624","125","180"
"5599","595","118","159"
"5600","581","95","185"
"5601","523","74","115"
"5602","519","73","111"
"5603","845","72","394"
"5604","845","71","394"
"5605","845","71","394"
"5606","844","71","394"
"5607","508","72","133"
"5608","558","117","199"
"5609","533","116","136"
"5610","846","114","394"
"5611","846","114","394"
"5612","846","114","394"
"5613","846","115","394"
"5614","655","119","158"
"5615","464","98","157"
"5616","407","84","181"
"5617","329","46","165"
"5618","325","41","171"
"5619","228","14","112"
"5620","225","14","146"
"5621","223","14","110"
"5622","234","14","136"
"5623","229","14","109"
"5624","222","14","127"
"5625","223","13","139"
"5626","224","13","121"
"5627","225","13","141"
"5628","246","16","111"
"5629","245","15","143"
"5630","232","14","124"
"5631","237","14","138"
"5632","248","15","140"
"5633","253","16","150"
"5634","222","14","121"
"5635","221","13","149"
"5636","221","14","109"
"5637","221","14","150"
"5638","221","14","103"
"5639","222","14","149"
"5640","222","13","118"
"5641","222","13","139"
"5642","221","13","115"
"5643","219","13","153"
"5644","218","13","110"
"5645","217","12","151"
"5646","838","13","394"
"5647","839","13","394"
"5648","838","13","394"
"5649","838","9","394"
"5650","389","8","89"
"5651","106","9","115"
"5652","98","9","141"
"5653","92","9","121"
"5654","111","8","86"
"5655","137","8","99"
"5656","826","9","394"
"5657","825","10","394"
"5658","826","10","394"
"5659","228","10","142"
"5660","151","8","101"
"5661","195","13","127"
"5662","201","14","152"
"5663","201","14","90"
"5664","200","13","119"
"5665","200","13","151"
"5666","199","14","103"
"5667","200","14","150"
"5668","199","14","103"
"5669","199","14","155"
"5670","199","14","114"
"5671","199","14","149"
"5672","200","14","117"
"5673","199","14","137"
"5674","340","53","154"
"5675","354","54","173"
"5676","354","54","165"
"5677","355","54","141"
"5678","354","54","160"
"5679","354","54","166"
"5680","356","55","135"
"5681","354","54","165"
"5682","355","54","152"
"5683","356","54","134"
"5684","355","55","173"
"5685","354","54","151"
"5686","354","54","156"
"5687","354","54","174"
"5688","354","54","142"
"5689","355","54","175"
"5690","353","53","161"
"5691","352","53","165"
"5692","351","53","131"
"5693","351","53","172"
"5694","347","51","129"
"5695","346","50","173"
"5696","351","52","168"
"5697","353","53","143"
"5698","352","53","147"
"5699","353","53","129"
"5700","351","53","175"
"5701","352","53","135"
"5702","347","50","145"
"5703","344","48","136"
"5704","343","48","130"
"5705","342","47","155"
"5706","343","48","131"
"5707","344","48","156"
"5708","347","50","170"
"5709","348","51","133"
"5710","346","51","175"
"5711","315","42","122"
"5712","828","43","395"
"5713","828","49","395"
"5714","828","48","394"
"5715","828","25","394"
"5716","827","41","394"
"5717","827","45","394"
"5718","827","44","394"
"5719","827","44","395"
"5720","827","41","394"
"5721","827","38","394"
"5722","827","41","394"
"5723","827","44","394"
"5724","828","45","394"
"5725","827","46","394"
"5726","828","46","394"
"5727","828","46","394"
"5728","344","26","125"
"5729","336","51","132"
"5730","313","53","128"
"5731","311","51","148"
"5732","327","52","155"
"5733","295","49","150"
"5734","310","51","166"
"5735","281","44","140"
"5736","322","53","167"
"5737","302","52","127"
"5738","296","49","160"
"5739","317","52","129"
"5740","317","52","169"
"5741","323","52","144"
"5742","325","53","160"
"5743","342","54","134"
"5744","342","53","163"
"5745","343","53","145"
"5746","345","54","173"
"5747","345","54","138"
"5748","345","54","173"
"5749","350","54","144"
"5750","351","54","174"
"5751","351","55","134"
"5752","350","54","158"
"5753","350","54","173"
"5754","346","53","135"
"5755","329","46","151"
"5756","300","46","168"
"5757","305","45","104"
"5758","828","46","395"
"5759","828","46","394"
"5760","828","47","394"
"5761","827","47","394"
"5762","828","47","394"
"5763","827","47","394"
"5764","827","47","394"
"5765","827","47","394"
"5766","827","47","394"
"5767","318","46","167"
"5768","321","46","160"
"5769","322","47","128"
"5770","320","46","155"
"5771","310","47","167"
"5772","305","46","126"
"5773","314","45","129"
"5774","308","46","103"
"5775","306","46","165"
"5776","302","45","152"
"5777","297","45","91"
"5778","296","45","131"
"5779","828","46","394"
"5780","827","46","394"
"5781","828","46","394"
"5782","828","46","394"
"5783","827","46","394"
"5784","827","42","394"
"5785","826","42","394"
"5786","826","40","394"
"5787","334","50","132"
"5788","350","54","160"
"5789","350","55","137"
"5790","349","54","147"
"5791","349","54","163"
"5792","350","54","169"
"5793","349","54","149"
"5794","349","54","154"
"5795","349","54","154"
"5796","350","54","172"
"5797","350","55","145"
"5798","349","54","173"
"5799","351","55","139"
"5800","351","55","141"
"5801","351","55","175"
"5802","350","55","145"
"5803","349","54","172"
"5804","350","54","145"
"5805","349","54","164"
"5806","349","54","170"
"5807","350","54","166"
"5808","350","54","171"
"5809","351","54","141"
"5810","349","54","160"
"5811","351","55","175"
"5812","349","54","166"
"5813","350","54","141"
"5814","349","54","164"
"5815","351","54","175"
"5816","351","54","137"
"5817","349","54","171"
"5818","349","54","161"
"5819","350","54","146"
"5820","350","54","168"
"5821","351","55","138"
"5822","349","53","159"
"5823","351","55","175"
"5824","351","54","141"
"5825","350","54","173"
"5826","350","54","141"
"5827","351","55","172"
"5828","349","53","160"
"5829","350","54","169"
"5830","351","55","175"
"5831","351","55","175"
"5832","350","55","142"
"5833","349","54","172"
"5834","349","54","145"
"5835","349","54","149"
"5836","351","54","172"
"5837","349","53","153"
"5838","351","55","176"
"5839","350","55","142"
"5840","350","54","173"
"5841","349","54","143"
"5842","349","53","169"
"5843","349","53","149"
"5844","349","54","162"
"5845","350","54","145"
"5846","350","54","174"
"5847","350","54","143"
"5848","350","54","152"
"5849","350","54","160"
"5850","349","54","157"
"5851","350","54","148"
"5852","350","54","167"
"5853","350","54","142"
"5854","350","54","167"
"5855","349","54","154"
"5856","350","54","141"
"5857","351","54","175"
"5858","350","54","173"
"5859","350","54","143"
"5860","349","54","160"
"5861","350","54","153"
"5862","349","53","153"
"5863","351","55","175"
"5864","349","54","143"
"5865","349","54","173"
"5866","350","54","143"
"5867","351","54","175"
"5868","350","54","171"
"5869","350","54","142"
"5870","351","55","174"
"5871","349","54","155"
"5872","351","54","172"
"5873","350","54","151"
"5874","350","54","168"
"5875","350","54","165"
"5876","350","54","158"
"5877","350","54","165"
"5878","350","54","143"
"5879","350","54","164"
"5880","351","55","174"
"5881","350","54","155"
"5882","350","53","162"
"5883","350","54","173"
"5884","350","53","158"
"5885","345","52","136"
"5886","334","49","172"
"5887","829","49","395"
"5888","828","48","395"
"5889","828","47","395"
"5890","828","44","394"
"5891","827","42","394"
"5892","826","34","394"
"5893","826","32","394"
"5894","826","29","394"
"5895","826","31","394"
"5896","826","30","394"
"5897","826","36","394"
"5898","281","41","168"
"5899","306","43","127"
"5900","305","44","167"
"5901","292","44","130"
"5902","291","44","166"
"5903","298","45","166"
"5904","311","49","138"
"5905","342","53","166"
"5906","349","54","135"
"5907","349","54","165"
"5908","349","54","145"
"5909","342","48","143"
"5910","335","48","172"
"5911","828","47","395"
"5912","829","48","394"
"5913","828","47","394"
"5914","828","48","394"
"5915","828","48","394"
"5916","828","47","394"
"5917","828","48","394"
"5918","828","48","394"
"5919","828","48","394"
"5920","827","48","394"
"5921","828","48","394"
"5922","631","47","167"
"5923","349","53","152"
"5924","349","54","169"
"5925","349","54","169"
"5926","348","53","153"
"5927","348","53","163"
"5928","349","54","141"
"5929","349","54","137"
"5930","348","53","161"
"5931","348","53","172"
"5932","348","53","155"
"5933","349","54","170"
"5934","348","53","152"
"5935","348","53","162"
"5936","349","53","148"
"5937","348","54","162"
"5938","348","53","161"
"5939","350","54","176"
"5940","348","53","149"
"5941","349","54","173"
"5942","348","53","156"
"5943","349","53","144"
"5944","350","54","174"
"5945","348","53","139"
"5946","349","53","149"
"5947","347","53","149"
